,braking_chance,Run,Avg Speed
0,0.0,0,98.07139719121564
1,0.0,1,95.68299987586502
2,0.0,2,98.65968953633066
3,0.0,3,96.41466767613345
4,0.0,4,97.4295374197293
5,0.0,5,99.01170275119892
6,0.0,6,96.65267485365379
7,0.0,7,96.58333973614727
8,0.0,8,93.57597714801803
9,0.0,9,95.56022220128794
10,0.0,10,97.10118821093616
11,0.0,11,97.86750009042588
12,0.0,12,98.07301913108685
13,0.0,13,96.89142618231286
14,0.0,14,96.61877115447527
15,0.0,15,96.14150777223266
16,0.0,16,97.08787030938943
17,0.0,17,95.70414329308862
18,0.0,18,97.44107074671783
19,0.0,19,96.87751457168183
20,0.0,20,98.57083019988167
21,0.0,21,97.84046368290421
22,0.0,22,97.74180038036332
23,0.0,23,96.47021105448022
24,0.0,24,97.5227191490437
25,0.1,25,96.0344149453375
26,0.1,26,97.28931779186314
27,0.1,27,95.01487113185004
28,0.1,28,95.25657621988852
29,0.1,29,95.76171601613693
30,0.1,30,95.02700802500556
31,0.1,31,96.79255554210144
32,0.1,32,95.59915865503173
33,0.1,33,97.19867786670414
34,0.1,34,96.87765174977973
35,0.1,35,97.59917451805487
36,0.1,36,96.60759646690607
37,0.1,37,96.06819317525975
38,0.1,38,96.9957462073425
39,0.1,39,96.08824696440168
40,0.1,40,96.2447444052366
41,0.1,41,96.2606965937656
42,0.1,42,98.00391298274695
43,0.1,43,95.50637965131608
44,0.1,44,96.12064953559009
45,0.1,45,97.10642493138265
46,0.1,46,95.85805738326802
47,0.1,47,95.54780550629047
48,0.1,48,96.81085405272272
49,0.1,49,94.7811255538474
50,0.2,50,94.39951765480197
51,0.2,51,96.58790921092051
52,0.2,52,95.86466423375326
53,0.2,53,95.57802989114411
54,0.2,54,96.02163542507971
55,0.2,55,95.19689106840426
56,0.2,56,94.93186903044851
57,0.2,57,94.9404988303254
58,0.2,58,95.58927019187635
59,0.2,59,96.11133525503891
60,0.2,60,91.53960437113888
61,0.2,61,96.91279200770622
62,0.2,62,96.54923896953137
63,0.2,63,95.09986948725859
64,0.2,64,96.43181332082308
65,0.2,65,95.07535962706126
66,0.2,66,93.64066682209275
67,0.2,67,96.0365972591239
68,0.2,68,94.10153708842708
69,0.2,69,94.08622688090621
70,0.2,70,93.65494585314993
71,0.2,71,94.12998799673592
72,0.2,72,93.40158534173833
73,0.2,73,97.32910935788321
74,0.2,74,96.62036997397765
75,0.3,75,92.07774088581928
76,0.3,76,95.43525638232113
77,0.3,77,94.73504596333225
78,0.3,78,93.88501498208602
79,0.3,79,93.54192972395576
80,0.3,80,93.71854552556928
81,0.3,81,96.1950044011732
82,0.3,82,92.56336173784095
83,0.3,83,93.61639573378714
84,0.3,84,92.55365246860961
85,0.3,85,93.65384244374164
86,0.3,86,93.17491853922205
87,0.3,87,92.97106415357558
88,0.3,88,94.0913362826487
89,0.3,89,90.79214728325826
90,0.3,90,95.0810448154146
91,0.3,91,93.62346714459625
92,0.3,92,91.63480451387235
93,0.3,93,91.5036052751436
94,0.3,94,95.23333119864293
95,0.3,95,92.72891995180795
96,0.3,96,95.03794563143471
97,0.3,97,92.93187913474425
98,0.3,98,92.65368462985518
99,0.3,99,93.75383223748214
100,0.4,100,89.11760094902132
101,0.4,101,89.36701494190883
102,0.4,102,87.94331621111158
103,0.4,103,92.71474794773447
104,0.4,104,82.67139794381526
105,0.4,105,91.9206257245492
106,0.4,106,91.32468674362366
107,0.4,107,90.96971291334147
108,0.4,108,87.55786976415284
109,0.4,109,87.64274102215155
110,0.4,110,90.30322631906674
111,0.4,111,89.93196933412433
112,0.4,112,87.36188602079963
113,0.4,113,92.77410063643471
114,0.4,114,91.70544834249155
115,0.4,115,89.55792101722292
116,0.4,116,88.19955738920376
117,0.4,117,93.99505897759391
118,0.4,118,94.53951814931659
119,0.4,119,86.67007612940242
120,0.4,120,91.05568864717766
121,0.4,121,87.25885439198541
122,0.4,122,90.66159619464382
123,0.4,123,91.33525368300316
124,0.4,124,91.67815875520007
125,0.5,125,65.99649586755659
126,0.5,126,77.15329465071154
127,0.5,127,76.30724769523786
128,0.5,128,75.18073887371884
129,0.5,129,78.60916717531471
130,0.5,130,80.99521701081134
131,0.5,131,82.54580373494724
132,0.5,132,76.13533250438684
133,0.5,133,79.28332729051061
134,0.5,134,74.87821602291848
135,0.5,135,73.52802613918608
136,0.5,136,78.29655007764721
137,0.5,137,84.01129053222812
138,0.5,138,75.65360184475458
139,0.5,139,69.50303570557838
140,0.5,140,81.05469252623296
141,0.5,141,79.12370985301749
142,0.5,142,68.32880773275676
143,0.5,143,69.35697471377023
144,0.5,144,81.47099116410817
145,0.5,145,73.72996900136795
146,0.5,146,80.51827811221229
147,0.5,147,78.26957236272851
148,0.5,148,81.53004990214896
149,0.5,149,78.47557708392166
150,0.6,150,60.03127247593449
151,0.6,151,55.53189583887928
152,0.6,152,63.06963866307926
153,0.6,153,55.228976537905986
154,0.6,154,62.37886406311097
155,0.6,155,51.55868397632541
156,0.6,156,58.25617364434431
157,0.6,157,64.83371302148362
158,0.6,158,60.80016600829296
159,0.6,159,59.11844079408661
160,0.6,160,55.71530354065603
161,0.6,161,57.953224121990246
162,0.6,162,54.019819550803476
163,0.6,163,51.06441968306934
164,0.6,164,61.71374267206379
165,0.6,165,60.238368125997816
166,0.6,166,59.09961202766237
167,0.6,167,55.56949573405691
168,0.6,168,59.3695499068305
169,0.6,169,60.26543447962377
170,0.6,170,54.48385239335204
171,0.6,171,57.05742015477653
172,0.6,172,64.40599498355412
173,0.6,173,60.777728587245264
174,0.6,174,59.673102441769124
175,0.7,175,34.86166950359486
176,0.7,176,31.966191558529435
177,0.7,177,34.29305803634594
178,0.7,178,28.095868258909167
179,0.7,179,31.117427319231194
180,0.7,180,28.751039011465775
181,0.7,181,26.111606367737192
182,0.7,182,28.405276805398735
183,0.7,183,25.27904730081143
184,0.7,184,31.27309788502462
185,0.7,185,32.073715950597425
186,0.7,186,28.302348045650128
187,0.7,187,28.28792132393143
188,0.7,188,24.338067037103755
189,0.7,189,29.551582100510785
190,0.7,190,28.784295250550784
191,0.7,191,26.17832524564838
192,0.7,192,29.258708699848327
193,0.7,193,30.66219325499713
194,0.7,194,27.805589309906445
195,0.7,195,32.638837839149815
196,0.7,196,29.182529855692575
197,0.7,197,29.251999113233236
198,0.7,198,28.617466021247388
199,0.7,199,29.446824273275016
200,0.8,200,5.7
201,0.8,201,6.68
202,0.8,202,5.16
203,0.8,203,7.86
204,0.8,204,7.46
205,0.8,205,5.88
206,0.8,206,6.92
207,0.8,207,5.16
208,0.8,208,6.06
209,0.8,209,5.34
210,0.8,210,7.06
211,0.8,211,6.58
212,0.8,212,6.22
213,0.8,213,5.68
214,0.8,214,7.06
215,0.8,215,4.54
216,0.8,216,7.08
217,0.8,217,5.12
218,0.8,218,4.22
219,0.8,219,5.36
220,0.8,220,4.32
221,0.8,221,6.98
222,0.8,222,5.04
223,0.8,223,4.94
224,0.8,224,5.94
225,0.9,225,1.4
226,0.9,226,1.62
227,0.9,227,1.58
228,0.9,228,1.92
229,0.9,229,2.14
230,0.9,230,2.14
231,0.9,231,1.22
232,0.9,232,1.24
233,0.9,233,1.14
234,0.9,234,1.72
235,0.9,235,1.04
236,0.9,236,1.38
237,0.9,237,1.7
238,0.9,238,0.92
239,0.9,239,1.18
240,0.9,240,1.16
241,0.9,241,1.22
242,0.9,242,1.36
243,0.9,243,1.22
244,0.9,244,1.04
245,0.9,245,1.18
246,0.9,246,1.36
247,0.9,247,0.68
248,0.9,248,1.4
249,0.9,249,1.38
250,1.0,250,0.0
251,1.0,251,0.0
252,1.0,252,0.0
253,1.0,253,0.0
254,1.0,254,0.0
255,1.0,255,0.0
256,1.0,256,0.0
257,1.0,257,0.0
258,1.0,258,0.0
259,1.0,259,0.0
260,1.0,260,0.0
261,1.0,261,0.0
262,1.0,262,0.0
263,1.0,263,0.0
264,1.0,264,0.0
265,1.0,265,0.0
266,1.0,266,0.0
267,1.0,267,0.0
268,1.0,268,0.0
269,1.0,269,0.0
270,1.0,270,0.0
271,1.0,271,0.0
272,1.0,272,0.0
273,1.0,273,0.0
274,1.0,274,0.0
